Invoice_ID,City,Customer_type,Gender,Product_line,Quantity,Date
750-67-8428,Yangon,Member,Female,Health and beauty,7,01/05/2019
226-31-3081,Naypyitaw,Normal,Female,Electronic accessories,5,03/08/2019
631-41-3108,Yangon,Normal,Male,Home and lifestyle,7,03/03/2019
123-19-1176,Yangon,Member,Male,Health and beauty,8,1/27/2019
373-73-7910,Yangon,Normal,Male,Sports and travel,7,02/08/2019
699-14-3026,Naypyitaw,Normal,Male,Electronic accessories,7,3/25/2019
355-53-5943,Yangon,Member,Female,Electronic accessories,6,2/25/2019
315-22-5665,Naypyitaw,Normal,Female,Home and lifestyle,10,2/24/2019
665-32-9167,Yangon,Member,Female,Health and beauty,2,01/10/2019
289-65-5721,Mandalay,Normal,Female,Fashion accessories,2,3/13/2019
649-29-6775,Mandalay,Normal,Male,Fashion accessories,1,02/08/2019
420-04-7590,Mandalay,Normal,Male,Home and lifestyle,3,3/18/2019
365-64-0515,Yangon,Normal,Female,Electronic accessories,5,02/12/2019
252-56-2699,Yangon,Normal,Male,Food and beverages,10,02/07/2019
829-34-3910,Yangon,Normal,Female,Health and beauty,10,3/29/2019
669-54-1719,Mandalay,Member,Male,Electronic accessories,6,02/10/2019
656-95-9349,Yangon,Member,Female,Health and beauty,7,03/11/2019
765-26-6951,Yangon,Normal,Male,Sports and travel,6,01/01/2019
329-62-1586,Yangon,Normal,Male,Food and beverages,3,1/21/2019
841-18-8232,Mandalay,Normal,Female,Food and beverages,1,01/05/2019
300-71-4605,Naypyitaw,Member,Male,Electronic accessories,5,2/25/2019
371-85-5789,Mandalay,Normal,Male,Health and beauty,3,03/05/2019
151-33-7434,Mandalay,Normal,Female,Food and beverages,1,02/04/2019
636-48-8204,Yangon,Normal,Male,Electronic accessories,5,2/17/2019
549-59-1358,Yangon,Member,Male,Sports and travel,3,03/02/2019
227-03-5010,Yangon,Member,Female,Home and lifestyle,8,3/22/2019
301-81-8610,Mandalay,Member,Male,Fashion accessories,8,3/19/2019
189-17-4241,Yangon,Normal,Female,Fashion accessories,2,03/10/2019
242-55-6721,Mandalay,Normal,Male,Home and lifestyle,2,03/07/2019
848-62-7243,Yangon,Normal,Male,Health and beauty,9,3/15/2019
565-67-6697,Mandalay,Member,Male,Home and lifestyle,9,03/02/2019
434-35-9162,Mandalay,Member,Male,Food and beverages,4,02/04/2019
365-16-4334,Mandalay,Normal,Female,Food and beverages,8,2/24/2019
595-11-5460,Yangon,Normal,Male,Health and beauty,2,3/15/2019
183-56-6882,Naypyitaw,Member,Female,Food and beverages,4,02/06/2019
232-16-2483,Naypyitaw,Member,Female,Sports and travel,1,01/07/2019
129-29-8530,Yangon,Member,Male,Sports and travel,5,03/10/2019
272-65-1806,Yangon,Normal,Female,Electronic accessories,9,1/15/2019
333-73-7901,Naypyitaw,Normal,Female,Health and beauty,8,3/23/2019
566-19-5475,Mandalay,Normal,Male,Fashion accessories,7,01/07/2019
400-45-1220,Mandalay,Normal,Female,Health and beauty,10,2/27/2019
554-53-8700,Naypyitaw,Member,Male,Home and lifestyle,2,02/02/2019
764-44-8999,Mandalay,Normal,Female,Health and beauty,2,2/18/2019
228-96-1411,Naypyitaw,Member,Female,Food and beverages,8,03/04/2019
617-15-4209,Naypyitaw,Member,Male,Health and beauty,2,3/16/2019
636-98-3364,Mandalay,Member,Female,Electronic accessories,3,03/02/2019
760-54-1821,Mandalay,Normal,Male,Home and lifestyle,9,3/15/2019
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,2,1/20/2019
891-58-8335,Mandalay,Member,Female,Sports and travel,7,03/11/2019
574-22-5561,Naypyitaw,Member,Female,Fashion accessories,10,3/19/2019
326-78-5178,Naypyitaw,Member,Male,Food and beverages,7,02/03/2019
162-48-8011,Yangon,Member,Female,Food and beverages,5,02/10/2019
109-86-4363,Mandalay,Member,Female,Sports and travel,7,2/14/2019
778-71-5554,Naypyitaw,Member,Male,Fashion accessories,1,1/25/2019
831-81-6575,Mandalay,Member,Female,Electronic accessories,9,2/23/2019
399-46-5918,Naypyitaw,Normal,Female,Electronic accessories,8,2/28/2019
106-35-6779,Yangon,Member,Male,Home and lifestyle,2,3/27/2019
635-40-6220,Yangon,Normal,Male,Health and beauty,8,02/07/2019
817-48-8732,Yangon,Member,Female,Home and lifestyle,10,1/20/2019
120-06-4233,Naypyitaw,Normal,Male,Electronic accessories,6,03/12/2019
285-68-5083,Naypyitaw,Member,Female,Sports and travel,3,2/15/2019
803-83-5989,Naypyitaw,Normal,Male,Home and lifestyle,6,2/24/2019
214-30-2776,Mandalay,Member,Female,Electronic accessories,5,03/11/2019
