Invoice_ID,City,Date,Payment,cogs,Profit,Unit_price,Total
750-67-8428,Yangon,01/05/2019,Ewallet,522.83,401.28,74.69,548.9715
226-31-3081,Naypyitaw,03/08/2019,Cash,76.4,149.8,15.28,80.22
631-41-3108,Yangon,03/03/2019,Credit card,324.31,165.2,46.33,340.5255
123-19-1176,Yangon,1/27/2019,Ewallet,465.76,89.6,58.22,489.048
373-73-7910,Yangon,02/08/2019,Ewallet,604.17,918.45,86.31,634.3785
699-14-3026,Naypyitaw,3/25/2019,Ewallet,597.73,322.7,85.39,627.6165
355-53-5943,Yangon,2/25/2019,Ewallet,413.04,346.92,68.84,433.692
315-22-5665,Naypyitaw,2/24/2019,Ewallet,735.6,147.76,73.56,772.38
665-32-9167,Yangon,01/10/2019,Credit card,72.52,181.93,36.26,76.146
289-65-5721,Mandalay,3/13/2019,Cash,17.75,25.25,81.37,170.877
649-29-6775,Mandalay,02/08/2019,Cash,19.15,43.28,33.52,35.196
420-04-7590,Mandalay,3/18/2019,Ewallet,25.45,43.4,99.7,314.055
365-64-0515,Yangon,02/12/2019,Ewallet,234.75,315.21,46.95,246.4875
252-56-2699,Yangon,02/07/2019,Ewallet,431.9,63.85,43.19,453.495
829-34-3910,Yangon,3/29/2019,Cash,713.8,207.75,71.38,749.49
669-54-1719,Mandalay,02/10/2019,Credit card,27.07,43.56,18.93,119.259
656-95-9349,Yangon,03/11/2019,Credit card,482.51,318.82,68.93,506.6355
765-26-6951,Yangon,01/01/2019,Credit card,435.66,113.19,72.61,457.443
329-62-1586,Yangon,1/21/2019,Credit card,164.01,386.54,54.67,172.2105
841-18-8232,Mandalay,01/05/2019,Credit card,29.52,44.9,71.2,74.76
300-71-4605,Naypyitaw,2/25/2019,Ewallet,430.2,208.8,86.04,451.71
371-85-5789,Mandalay,03/05/2019,Ewallet,31.77,47.4,87.98,277.137
151-33-7434,Mandalay,02/04/2019,Credit card,32.32,49.74,67.77,71.1585
636-48-8204,Yangon,2/17/2019,Ewallet,172.8,77.52,34.56,181.44
549-59-1358,Yangon,03/02/2019,Ewallet,265.89,495,88.63,279.1845
227-03-5010,Yangon,3/22/2019,Credit card,420.72,202.2,52.59,441.756
301-81-8610,Mandalay,3/19/2019,Credit card,32.98,54.72,25.42,213.528
189-17-4241,Yangon,03/10/2019,Credit card,175.34,401.39,87.67,184.107
242-55-6721,Mandalay,03/07/2019,Ewallet,33.52,60.8,16.16,33.936
848-62-7243,Yangon,3/15/2019,Cash,224.01,69.23,24.89,235.2105
565-67-6697,Mandalay,03/02/2019,Cash,33.63,62.2,27,255.15
434-35-9162,Mandalay,02/04/2019,Ewallet,34.81,63.6,23.34,98.028
365-16-4334,Mandalay,2/24/2019,Ewallet,39.01,65.52,26.43,222.012
595-11-5460,Yangon,3/15/2019,Credit card,193.16,337.8,96.58,202.818
183-56-6882,Naypyitaw,02/06/2019,Ewallet,397.68,80.9,99.42,417.564
232-16-2483,Naypyitaw,01/07/2019,Ewallet,68.12,569.25,68.12,71.526
129-29-8530,Yangon,03/10/2019,Ewallet,313.1,56.04,62.62,328.755
272-65-1806,Yangon,1/15/2019,Ewallet,547.92,446.82,60.88,575.316
333-73-7901,Naypyitaw,3/23/2019,Ewallet,439.36,280.16,54.92,461.328
566-19-5475,Mandalay,01/07/2019,Cash,39.12,66.96,47.97,352.5795
400-45-1220,Mandalay,2/27/2019,Credit card,39.48,68.46,13.5,141.75
554-53-8700,Naypyitaw,02/02/2019,Cash,112.22,616.44,56.11,117.831
764-44-8999,Mandalay,2/18/2019,Ewallet,39.75,70.5,14.76,30.996
228-96-1411,Naypyitaw,03/04/2019,Cash,789.6,1039.95,98.7,829.08
617-15-4209,Naypyitaw,3/16/2019,Cash,30.74,731.72,15.37,32.277
636-98-3364,Mandalay,03/02/2019,Ewallet,43.74,70.5,26.26,82.719
760-54-1821,Mandalay,3/15/2019,Cash,44.46,71.17,13.59,128.4255
378-24-2715,Mandalay,1/20/2019,Ewallet,47.44,74.1,53.44,112.224
891-58-8335,Mandalay,03/11/2019,Cash,50.62,81.6,29.61,217.6335
574-22-5561,Naypyitaw,3/19/2019,Ewallet,826.3,415.47,82.63,867.615
326-78-5178,Naypyitaw,02/03/2019,Cash,639.8,153.34,91.4,671.79
162-48-8011,Yangon,02/10/2019,Cash,222.95,553.44,44.59,234.0975
109-86-4363,Mandalay,2/14/2019,Credit card,51.36,86.02,60.08,441.588
778-71-5554,Naypyitaw,1/25/2019,Credit card,15.43,181.83,15.43,16.2015
831-81-6575,Mandalay,2/23/2019,Cash,53.72,86.8,75.59,714.3255
399-46-5918,Naypyitaw,2/28/2019,Cash,687.84,611,85.98,722.232
106-35-6779,Yangon,3/27/2019,Cash,88.68,271.17,44.34,93.114
635-40-6220,Yangon,02/07/2019,Ewallet,716.8,194.88,89.6,752.64
817-48-8732,Yangon,1/20/2019,Cash,723.5,421.12,72.35,759.675
120-06-4233,Naypyitaw,03/12/2019,Cash,183.66,678.72,30.61,192.843
285-68-5083,Naypyitaw,2/15/2019,Credit card,74.22,271.32,24.74,77.931
803-83-5989,Naypyitaw,2/24/2019,Ewallet,334.38,289.46,55.73,351.099
214-30-2776,Mandalay,03/11/2019,Credit card,53.78,88.86,34.49,181.0725
199-75-8169,Yangon,03/06/2019,Credit card,158.1,661.58,15.81,166.005
280-35-5823,Mandalay,1/17/2019,Ewallet,54.24,92.4,86.72,91.056
877-22-3308,Yangon,3/13/2019,Cash,158.7,766.08,15.87,166.635
838-78-4295,Naypyitaw,02/10/2019,Ewallet,66.94,383.04,33.47,70.287
501-61-1753,Mandalay,01/03/2019,Ewallet,54.36,92.96,63.15,397.845
232-11-3025,Yangon,1/24/2019,Cash,787.7,77.64,78.77,827.085
382-03-4532,Yangon,02/02/2019,Cash,18.33,554.4,18.33,19.2465
393-65-2792,Naypyitaw,01/06/2019,Credit card,894.8,357.84,89.48,939.54
796-12-2025,Naypyitaw,02/11/2019,Cash,621.2,1011.88,62.12,652.26
